cyclone_id,cyclone_name,destruction_id
1,AMANDA,1
2,BORIS,2
3,CRISTINA,3
4,DOUGLAS,4
5,ELIDA,5
6,FAUSTO,6
7,WALI,7
8,GENEVIEVE,8
9,HERNAN,9
10,ISELLE,10
11,JULIO,11
12,KARINA,12
13,LOWELL,13
14,MARIE,14
15,NORBERT,15
16,ODILE,16
17,SIXTEEN,17
18,POLO,18
19,RACHEL,19
20,SIMON,20
21,ANA,21
22,TRUDY,22
23,VANCE,23
24,ARTHUR,24
25,TWO,25
26,BERTHA,26
27,CRISTOBAL,27
28,DOLLY,28
29,EDOUARD,29
30,FAY,30
31,GONZALO,31
32,HANNA,32
