casualty_id,casualty_est
1,3
2,6
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,6
15,5
16,18
17,0
18,4
19,0
20,0
21,0
22,9
23,0
24,1
25,0
26,4
27,7
28,1
29,2
30,0
31,6
32,0
