destruction_id,est_damage_cost (in million USD),casualty_id
1,8,1
2,47,2
3,2,3
4,1,4
5,3,5
6,1,6
7,4,7
8,1,8
9,1,9
10,148,10
11,2,11
12,1,12
13,1,13
14,20,14
15,28,15
16,1260,16
17,2,17
18,8,18
19,2,19
20,1,20
21,5,21
22,1,22
23,9,23
24,17,24
25,1,25
26,7,26
27,10,27
28,7,28
29,6,29
30,4,30
31,316,31
32,3,32
