location_id,latitude,longitude,landfall
269,22.8N,95.6W,0
270,21.8N,98.8W,1
271,21.6N,101.0W,0
272,13.7N,33.2W,0
273,15.8N,36.5W,0
274,18.3N,42.3W,0
275,21.4N,46.4W,0
276,24.4N,50.3W,0
277,27.0N,55.1W,0
278,30.6N,57.8W,0
279,35.7N,54.5W,0
280,39.9N,44.1W,0
281,39.5N,38.1W,0
282,39.1N,34.4W,0
283,36.1N,30.2W,0
284,33.4N,30.7W,0
285,23.5N,63.3W,0
286,27.2N,65.3W,0
287,33.1N,63.9W,1
288,33.9N,59.0W,0
289,16.4N,54.9W,0
290,16.4N,57.9W,0
291,17.0N,61.5W,1
292,19.9N,64.8W,0
293,23.1N,67.7W,0
294,25.6N,68.7W,0
295,29.8N,66.5W,0
296,35.6N,62.6W,1
297,47.8N,50.1W,0
298,53.9N,30.9W,0
299,19.5N,94.2W,0
300,19.4N,92.4W,0
301,18.6N,90.5W,0
302,18.4N,87.7W,0
303,18.3N,84.5W,0
304,16.0N,81.8W,0
305,14.9N,83.0W,1
306,15.9N,85.9W,0
307,16.9N,89.6W,0
